Month - Standardized Year,Year of Month,Title,Date String Month,Month,z_original Value,Value - USE THIS!,z_Original Value FLOAT
1/1/2020,2021,Transit Ridership Total,January 2021,1/1/2021,"2,254,350",2254350,2254350
1/1/2020,2021,Transit Ridership Total,January 2021,1/1/2021,"2,254,350",2254350,2254350
1/1/2020,2021,Transit Ridership Total,January 2021,1/1/2021,"2,254,350",2254350,2254350
1/1/2020,2021,Transit Ridership Total,January 2021,1/1/2021,"2,254,350",2254350,2254350
2/1/2020,2021,Transit Ridership Total,February 2021,2/1/2021,"2,050,430",2050430,2050430
2/1/2020,2021,Transit Ridership Total,February 2021,2/1/2021,"2,050,430",2050430,2050430
2/1/2020,2021,Transit Ridership Total,February 2021,2/1/2021,"2,050,430",2050430,2050430
2/1/2020,2021,Transit Ridership Total,February 2021,2/1/2021,"2,050,430",2050430,2050430
3/1/2020,2021,Transit Ridership Total,March 2021,3/1/2021,"2,625,886",2625886,2625886
3/1/2020,2021,Transit Ridership Total,March 2021,3/1/2021,"2,625,886",2625886,2625886
3/1/2020,2021,Transit Ridership Total,March 2021,3/1/2021,"2,625,886",2625886,2625886
3/1/2020,2021,Transit Ridership Total,March 2021,3/1/2021,"2,625,886",2625886,2625886
3/1/2020,2021,Transit Ridership Total,March 2021,3/1/2021,"2,625,886",2625886,2625886
4/1/2020,2021,Transit Ridership Total,April 2021,4/1/2021,"2,444,588",2444588,2444588
4/1/2020,2021,Transit Ridership Total,April 2021,4/1/2021,"2,444,588",2444588,2444588
4/1/2020,2021,Transit Ridership Total,April 2021,4/1/2021,"2,444,588",2444588,2444588
4/1/2020,2021,Transit Ridership Total,April 2021,4/1/2021,"2,444,588",2444588,2444588
5/1/2020,2021,Transit Ridership Total,May 2021,5/1/2021,"2,576,059",2576059,2576059
5/1/2020,2021,Transit Ridership Total,May 2021,5/1/2021,"2,576,059",2576059,2576059
5/1/2020,2021,Transit Ridership Total,May 2021,5/1/2021,"2,576,059",2576059,2576059
5/1/2020,2021,Transit Ridership Total,May 2021,5/1/2021,"2,576,059",2576059,2576059
6/1/2020,2021,Transit Ridership Total,June 2021,6/1/2021,"2,625,169",2625169,2625169
6/1/2020,2021,Transit Ridership Total,June 2021,6/1/2021,"2,625,169",2625169,2625169
6/1/2020,2021,Transit Ridership Total,June 2021,6/1/2021,"2,625,169",2625169,2625169
6/1/2020,2021,Transit Ridership Total,June 2021,6/1/2021,"2,625,169",2625169,2625169
6/1/2020,2021,Transit Ridership Total,June 2021,6/1/2021,"2,625,169",2625169,2625169
7/1/2020,2021,Transit Ridership Total,July 2021,7/1/2021,"2,738,525",2738525,2738525
7/1/2020,2021,Transit Ridership Total,July 2021,7/1/2021,"2,738,525",2738525,2738525
7/1/2020,2021,Transit Ridership Total,July 2021,7/1/2021,"2,738,525",2738525,2738525
7/1/2020,2021,Transit Ridership Total,July 2021,7/1/2021,"2,738,525",2738525,2738525
8/1/2020,2021,Transit Ridership Total,August 2021,8/1/2021,"2,848,911",2848911,2848911
8/1/2020,2021,Transit Ridership Total,August 2021,8/1/2021,"2,848,911",2848911,2848911
8/1/2020,2021,Transit Ridership Total,August 2021,8/1/2021,"2,848,911",2848911,2848911
8/1/2020,2021,Transit Ridership Total,August 2021,8/1/2021,"2,848,911",2848911,2848911
9/1/2020,2021,Transit Ridership Total,September 2021,9/1/2021,"3,331,775",3331775,3331775
9/1/2020,2021,Transit Ridership Total,September 2021,9/1/2021,"3,331,775",3331775,3331775
9/1/2020,2021,Transit Ridership Total,September 2021,9/1/2021,"3,331,775",3331775,3331775
9/1/2020,2021,Transit Ridership Total,September 2021,9/1/2021,"3,331,775",3331775,3331775
9/1/2020,2021,Transit Ridership Total,September 2021,9/1/2021,"3,331,775",3331775,3331775
10/1/2020,2021,Transit Ridership Total,October 2021,10/1/2021,"3,474,115",3474115,3474115
10/1/2020,2021,Transit Ridership Total,October 2021,10/1/2021,"3,474,115",3474115,3474115
10/1/2020,2021,Transit Ridership Total,October 2021,10/1/2021,"3,474,115",3474115,3474115
10/1/2020,2021,Transit Ridership Total,October 2021,10/1/2021,"3,474,115",3474115,3474115
11/1/2020,2021,Transit Ridership Total,November 2021,11/1/2021,"3,076,119",3076119,3076119
11/1/2020,2021,Transit Ridership Total,November 2021,11/1/2021,"3,076,119",3076119,3076119
11/1/2020,2021,Transit Ridership Total,November 2021,11/1/2021,"3,076,119",3076119,3076119
11/1/2020,2021,Transit Ridership Total,November 2021,11/1/2021,"3,076,119",3076119,3076119
12/1/2020,2021,Transit Ridership Total,December 2021,12/1/2021,"2,818,357",2818357,2818357
12/1/2020,2021,Transit Ridership Total,December 2021,12/1/2021,"2,818,357",2818357,2818357
12/1/2020,2021,Transit Ridership Total,December 2021,12/1/2021,"2,818,357",2818357,2818357
12/1/2020,2018,Transit Ridership Total,December 2018,12/1/2018,,,
2/1/2020,2019,Transit Ridership Total,February 2019,2/1/2019,"5,755,987",5755987,5755987
2/1/2020,2019,Transit Ridership Total,February 2019,2/1/2019,"5,755,987",5755987,5755987
2/1/2020,2019,Transit Ridership Total,February 2019,2/1/2019,"5,755,987",5755987,5755987
2/1/2020,2019,Transit Ridership Total,February 2019,2/1/2019,"5,755,987",5755987,5755987
4/1/2020,2019,Transit Ridership Total,April 2019,4/1/2019,"6,883,070",6883070,6883070
4/1/2020,2019,Transit Ridership Total,April 2019,4/1/2019,"6,883,070",6883070,6883070
4/1/2020,2019,Transit Ridership Total,April 2019,4/1/2019,"6,883,070",6883070,6883070
4/1/2020,2019,Transit Ridership Total,April 2019,4/1/2019,"6,883,070",6883070,6883070
5/1/2020,2019,Transit Ridership Total,May 2019,5/1/2019,"6,858,635",6858635,6858635
5/1/2020,2019,Transit Ridership Total,May 2019,5/1/2019,"6,858,635",6858635,6858635
5/1/2020,2019,Transit Ridership Total,May 2019,5/1/2019,"6,858,635",6858635,6858635
5/1/2020,2019,Transit Ridership Total,May 2019,5/1/2019,"6,858,635",6858635,6858635
6/1/2020,2019,Transit Ridership Total,June 2019,6/1/2019,"6,296,586",6296586,6296586
6/1/2020,2019,Transit Ridership Total,June 2019,6/1/2019,"6,296,586",6296586,6296586
6/1/2020,2019,Transit Ridership Total,June 2019,6/1/2019,"6,296,586",6296586,6296586
6/1/2020,2019,Transit Ridership Total,June 2019,6/1/2019,"6,296,586",6296586,6296586
6/1/2020,2019,Transit Ridership Total,June 2019,6/1/2019,"6,296,586",6296586,6296586
3/1/2020,2019,Transit Ridership Total,March 2019,3/1/2019,"6,616,648",6616648,6616648
3/1/2020,2019,Transit Ridership Total,March 2019,3/1/2019,"6,616,648",6616648,6616648
3/1/2020,2019,Transit Ridership Total,March 2019,3/1/2019,"6,616,648",6616648,6616648
3/1/2020,2019,Transit Ridership Total,March 2019,3/1/2019,"6,616,648",6616648,6616648
3/1/2020,2019,Transit Ridership Total,March 2019,3/1/2019,"6,616,648",6616648,6616648
7/1/2020,2019,Transit Ridership Total,July 2019,7/1/2019,"6,686,133",6686133,6686133
7/1/2020,2019,Transit Ridership Total,July 2019,7/1/2019,"6,686,133",6686133,6686133
7/1/2020,2019,Transit Ridership Total,July 2019,7/1/2019,"6,686,133",6686133,6686133
7/1/2020,2019,Transit Ridership Total,July 2019,7/1/2019,"6,686,133",6686133,6686133
8/1/2020,2019,Transit Ridership Total,August 2019,8/1/2019,"7,218,385",7218385,7218385
8/1/2020,2019,Transit Ridership Total,August 2019,8/1/2019,"7,218,385",7218385,7218385
8/1/2020,2019,Transit Ridership Total,August 2019,8/1/2019,"7,218,385",7218385,7218385
8/1/2020,2019,Transit Ridership Total,August 2019,8/1/2019,"7,218,385",7218385,7218385
1/1/2020,2019,Transit Ridership Total,January 2019,1/1/2019,"5,609,655",5609655,5609655
1/1/2020,2019,Transit Ridership Total,January 2019,1/1/2019,"5,609,655",5609655,5609655
1/1/2020,2019,Transit Ridership Total,January 2019,1/1/2019,"5,609,655",5609655,5609655
1/1/2020,2019,Transit Ridership Total,January 2019,1/1/2019,"5,609,655",5609655,5609655
10/1/2020,2019,Transit Ridership Total,October 2019,10/1/2019,"7,136,948",7136948,7136948
10/1/2020,2019,Transit Ridership Total,October 2019,10/1/2019,"7,136,948",7136948,7136948
10/1/2020,2019,Transit Ridership Total,October 2019,10/1/2019,"7,136,948",7136948,7136948
10/1/2020,2019,Transit Ridership Total,October 2019,10/1/2019,"7,136,948",7136948,7136948
9/1/2020,2019,Transit Ridership Total,September 2019,9/1/2019,"6,920,911",6920911,6920911
9/1/2020,2019,Transit Ridership Total,September 2019,9/1/2019,"6,920,911",6920911,6920911
9/1/2020,2019,Transit Ridership Total,September 2019,9/1/2019,"6,920,911",6920911,6920911
9/1/2020,2019,Transit Ridership Total,September 2019,9/1/2019,"6,920,911",6920911,6920911
9/1/2020,2019,Transit Ridership Total,September 2019,9/1/2019,"6,920,911",6920911,6920911
11/1/2020,2019,Transit Ridership Total,November 2019,11/1/2019,"6,129,084",6129084,6129084
11/1/2020,2019,Transit Ridership Total,November 2019,11/1/2019,"6,129,084",6129084,6129084
11/1/2020,2019,Transit Ridership Total,November 2019,11/1/2019,"6,129,084",6129084,6129084
11/1/2020,2019,Transit Ridership Total,November 2019,11/1/2019,"6,129,084",6129084,6129084
12/1/2020,2019,Transit Ridership Total,December 2019,12/1/2019,"5,815,207",5815207,5815207
12/1/2020,2019,Transit Ridership Total,December 2019,12/1/2019,"5,815,207",5815207,5815207
12/1/2020,2019,Transit Ridership Total,December 2019,12/1/2019,"5,815,207",5815207,5815207
12/1/2020,2019,Transit Ridership Total,December 2019,12/1/2019,"5,815,207",5815207,5815207
12/1/2020,2019,Transit Ridership Total,December 2019,12/1/2019,"5,815,207",5815207,5815207
7/1/2020,2020,Transit Ridership Total,July 2020,7/1/2020,"2,396,736",2396736,2396736
7/1/2020,2020,Transit Ridership Total,July 2020,7/1/2020,"2,396,736",2396736,2396736
7/1/2020,2020,Transit Ridership Total,July 2020,7/1/2020,"2,396,736",2396736,2396736
7/1/2020,2020,Transit Ridership Total,July 2020,7/1/2020,"2,396,736",2396736,2396736
5/1/2020,2020,Transit Ridership Total,May 2020,5/1/2020,"1,735,214",1735214,1735214
5/1/2020,2020,Transit Ridership Total,May 2020,5/1/2020,"1,735,214",1735214,1735214
5/1/2020,2020,Transit Ridership Total,May 2020,5/1/2020,"1,735,214",1735214,1735214
5/1/2020,2020,Transit Ridership Total,May 2020,5/1/2020,"1,735,214",1735214,1735214
4/1/2020,2020,Transit Ridership Total,April 2020,4/1/2020,"1,941,149",1941149,1941149
4/1/2020,2020,Transit Ridership Total,April 2020,4/1/2020,"1,941,149",1941149,1941149
4/1/2020,2020,Transit Ridership Total,April 2020,4/1/2020,"1,941,149",1941149,1941149
4/1/2020,2020,Transit Ridership Total,April 2020,4/1/2020,"1,941,149",1941149,1941149
10/1/2020,2020,Transit Ridership Total,October 2020,10/1/2020,"2,469,338",2469338,2469338
10/1/2020,2020,Transit Ridership Total,October 2020,10/1/2020,"2,469,338",2469338,2469338
10/1/2020,2020,Transit Ridership Total,October 2020,10/1/2020,"2,469,338",2469338,2469338
10/1/2020,2020,Transit Ridership Total,October 2020,10/1/2020,"2,469,338",2469338,2469338
8/1/2020,2020,Transit Ridership Total,August 2020,8/1/2020,"2,367,686",2367686,2367686
8/1/2020,2020,Transit Ridership Total,August 2020,8/1/2020,"2,367,686",2367686,2367686
8/1/2020,2020,Transit Ridership Total,August 2020,8/1/2020,"2,367,686",2367686,2367686
8/1/2020,2020,Transit Ridership Total,August 2020,8/1/2020,"2,367,686",2367686,2367686
2/1/2020,2020,Transit Ridership Total,February 2020,2/1/2020,"6,055,324",6055324,6055324
2/1/2020,2020,Transit Ridership Total,February 2020,2/1/2020,"6,055,324",6055324,6055324
2/1/2020,2020,Transit Ridership Total,February 2020,2/1/2020,"6,055,324",6055324,6055324
2/1/2020,2020,Transit Ridership Total,February 2020,2/1/2020,"6,055,324",6055324,6055324
12/1/2020,2020,Transit Ridership Total,December 2020,12/1/2020,"2,209,688",2209688,2209688
12/1/2020,2020,Transit Ridership Total,December 2020,12/1/2020,"2,209,688",2209688,2209688
12/1/2020,2020,Transit Ridership Total,December 2020,12/1/2020,"2,209,688",2209688,2209688
12/1/2020,2020,Transit Ridership Total,December 2020,12/1/2020,"2,209,688",2209688,2209688
12/1/2020,2020,Transit Ridership Total,December 2020,12/1/2020,"2,209,688",2209688,2209688
6/1/2020,2020,Transit Ridership Total,June 2020,6/1/2020,"1,826,009",1826009,1826009
6/1/2020,2020,Transit Ridership Total,June 2020,6/1/2020,"1,826,009",1826009,1826009
6/1/2020,2020,Transit Ridership Total,June 2020,6/1/2020,"1,826,009",1826009,1826009
6/1/2020,2020,Transit Ridership Total,June 2020,6/1/2020,"1,826,009",1826009,1826009
6/1/2020,2020,Transit Ridership Total,June 2020,6/1/2020,"1,826,009",1826009,1826009
1/1/2020,2020,Transit Ridership Total,January 2020,1/1/2020,"6,002,224",6002224,6002224
1/1/2020,2020,Transit Ridership Total,January 2020,1/1/2020,"6,002,224",6002224,6002224
1/1/2020,2020,Transit Ridership Total,January 2020,1/1/2020,"6,002,224",6002224,6002224
1/1/2020,2020,Transit Ridership Total,January 2020,1/1/2020,"6,002,224",6002224,6002224
9/1/2020,2020,Transit Ridership Total,September 2020,9/1/2020,"2,346,291",2346291,2346291
9/1/2020,2020,Transit Ridership Total,September 2020,9/1/2020,"2,346,291",2346291,2346291
9/1/2020,2020,Transit Ridership Total,September 2020,9/1/2020,"2,346,291",2346291,2346291
9/1/2020,2020,Transit Ridership Total,September 2020,9/1/2020,"2,346,291",2346291,2346291
9/1/2020,2020,Transit Ridership Total,September 2020,9/1/2020,"2,346,291",2346291,2346291
3/1/2020,2020,Transit Ridership Total,March 2020,3/1/2020,"4,241,774",4241774,4241774
3/1/2020,2020,Transit Ridership Total,March 2020,3/1/2020,"4,241,774",4241774,4241774
3/1/2020,2020,Transit Ridership Total,March 2020,3/1/2020,"4,241,774",4241774,4241774
3/1/2020,2020,Transit Ridership Total,March 2020,3/1/2020,"4,241,774",4241774,4241774
3/1/2020,2020,Transit Ridership Total,March 2020,3/1/2020,"4,241,774",4241774,4241774
11/1/2020,2020,Transit Ridership Total,November 2020,11/1/2020,"2,271,103",2271103,2271103
11/1/2020,2020,Transit Ridership Total,November 2020,11/1/2020,"2,271,103",2271103,2271103
11/1/2020,2020,Transit Ridership Total,November 2020,11/1/2020,"2,271,103",2271103,2271103
11/1/2020,2020,Transit Ridership Total,November 2020,11/1/2020,"2,271,103",2271103,2271103
12/1/2020,2021,Transit Ridership Total,December 2021,12/1/2021,"2,818,357",2818357,2818357
12/1/2020,2021,Transit Ridership Total,December 2021,12/1/2021,"2,818,357",2818357,2818357
3/1/2020,2022,Transit Ridership Total,March 2022,3/1/2022,,,
3/1/2020,2022,Transit Ridership Total,March 2022,3/1/2022,,,
3/1/2020,2022,Transit Ridership Total,March 2022,3/1/2022,,,
3/1/2020,2022,Transit Ridership Total,March 2022,3/1/2022,,,
2/1/2020,2022,Transit Ridership Total,February 2022,2/1/2022,,,
2/1/2020,2022,Transit Ridership Total,February 2022,2/1/2022,,,
2/1/2020,2022,Transit Ridership Total,February 2022,2/1/2022,,,
2/1/2020,2022,Transit Ridership Total,February 2022,2/1/2022,,,
1/1/2020,2022,Transit Ridership Total,January 2022,1/1/2022,"2,514,265",2514265,2514265
1/1/2020,2022,Transit Ridership Total,January 2022,1/1/2022,"2,514,265",2514265,2514265
1/1/2020,2022,Transit Ridership Total,January 2022,1/1/2022,"2,514,265",2514265,2514265
1/1/2020,2022,Transit Ridership Total,January 2022,1/1/2022,"2,514,265",2514265,2514265
