Route,year,month,riders,date,RouteClass,dscp,avg_riders,gas_price,remove_seasonality,norm_de_sea,norm_avg_riders,Date,Daily Riders,Daily Riders(removed seasonality)
2,2014,1,141502,2014-01-01,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,4564.580645161291,3.218,-55.677419354835365,0.9072306159521576,1.417715050833416,"Jan 2014
Gas Price: 3.218",4565,-56
2,2014,2,178819,2014-02-01,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,6386.392857142857,3.29025,509.14501231527265,1.8483343827862864,2.1101662089410658,"Feb 2014
Gas Price: 3.29025",6386,509
2,2014,3,175133,2014-03-01,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,5649.451612903225,3.5058,268.2258064516136,1.44691623890952,2.041769098541388,"Mar 2014
Gas Price: 3.5058",5649,268
2,2014,4,178273,2014-04-01,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,5942.433333333333,3.51675,482.04166666666697,1.803174949921184,2.100034678209046,"Apr 2014
Gas Price: 3.51675",5942,482
2,2014,5,147049,2014-05-01,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,4743.5161290322585,3.49525,359.241935483873,1.5985667702484538,1.5206447229405826,"May 2014
Gas Price: 3.49525",4744,359
2,2014,6,116952,2014-06-01,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,3898.4,3.5444,20.366666666668152,1.033934818525497,0.9621672862343644,"Jun 2014
Gas Price: 3.5444",3898,20
2,2014,7,118553,2014-07-01,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,3824.290322580646,3.4505,30.145161290323813,1.0502276879447918,0.9918753094980336,"Jul 2014
Gas Price: 3.4505",3824,30
2,2014,8,122807,2014-08-01,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,3961.516129032258,3.33725,1.5483870967755138,1.0025799133454785,1.0708121808057471,"Aug 2014
Gas Price: 3.33725",3962,2
2,2014,9,169944,2014-09-01,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,5664.8,3.2638000000000003,262.7333333333354,1.437764712959032,1.945482444753018,"Sep 2014
Gas Price: 3.2638",5665,263
2,2014,10,176832,2014-10-01,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,5704.258064516129,3.0495,247.81720430107632,1.4129115477309169,2.0732956016800346,"Oct 2014
Gas Price: 3.0495",5704,248
2,2014,11,159012,2014-11-01,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,5300.4,2.85825,101.13333333333505,1.1685077568025504,1.7426291591075258,"Nov 2014
Gas Price: 2.85825",5300,101
2,2014,12,145168,2014-12-01,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,4682.8387096774195,2.407,57.23655913978655,1.0953672134582235,1.485741042891262,"Dec 2014
Gas Price: 2.407",4683,57
2,2015,1,144747,2015-01-01,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,4669.258064516129,1.9565,49.00000000000273,1.0816435077454696,1.477929001795694,"Jan 2015
Gas Price: 1.9565",4669,49
2,2015,2,165660,2015-02-01,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,5916.428571428572,2.156,39.18072660098733,1.0652826929738906,1.865988895932556,"Feb 2015
Gas Price: 2.156",5916,39
2,2015,3,165562,2015-03-01,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,5340.709677419355,2.3806,-40.516129032256686,0.9324922674599686,1.8641704160575785,"Mar 2015
Gas Price: 2.3806",5341,-41
2,2015,4,163867,2015-04-01,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,5462.233333333334,2.30925,1.8416666666671515,1.0030685740156018,1.832718136587297,"Apr 2015
Gas Price: 2.30925",5462,2
