"date","route","rides"
2008-01-01,3,1079
2008-01-02,3,5628
2008-01-03,3,5870
2008-01-04,3,6059
2008-01-05,3,2010
2008-01-06,3,1480
2008-01-07,3,6788
2008-01-08,3,6899
2008-01-09,3,6886
2008-01-10,3,6596
2008-01-11,3,6832
2008-01-12,3,2126
2008-01-13,3,1445
2008-01-14,3,6852
2008-01-15,3,7123
2008-01-16,3,7034
2008-01-17,3,6816
2008-01-18,3,6232
2008-01-19,3,1687
2008-01-20,3,1393
2008-01-21,3,3825
2008-01-22,3,11836
2008-01-23,3,12145
2008-01-24,3,11922
2008-01-25,3,10272
2008-01-26,3,2747
2008-01-27,3,1989
2008-01-28,3,11886
2008-01-29,3,12247
2008-01-30,3,11002
2008-01-31,3,12564
2008-02-01,3,10405
2008-02-02,3,3135
2008-02-03,3,1882
2008-02-04,3,12196
2008-02-05,3,12269
2008-02-06,3,12630
2008-02-07,3,12775
2008-02-08,3,10553
2008-02-09,3,2208
2008-02-10,3,1254
2008-02-11,3,12080
2008-02-12,3,12730
2008-02-13,3,12517
2008-02-14,3,12305
2008-02-15,3,9695
2008-02-16,3,2695
2008-02-17,3,1864
2008-02-18,3,10421
2008-02-19,3,12061
2008-02-20,3,11889
2008-02-21,3,11996
2008-02-22,3,10347
2008-02-23,3,2832
2008-02-24,3,2010
2008-02-25,3,11764
2008-02-26,3,12353
2008-02-27,3,12402
2008-02-28,3,11949
2008-02-29,3,10015
2008-03-01,3,3099
2008-03-02,3,1887
2008-03-03,3,12373
2008-03-04,3,12582
2008-03-05,3,12072
2008-03-06,3,12313
2008-03-07,3,9872
2008-03-08,3,2909
2008-03-09,3,1877
2008-03-10,3,11740
2008-03-11,3,11775
2008-03-12,3,11854
2008-03-13,3,11627
2008-03-14,3,9147
2008-03-15,3,2971
2008-03-16,3,1702
2008-03-17,3,7097
2008-03-18,3,6692
2008-03-19,3,6981
2008-03-20,3,6648
2008-03-21,3,5122
2008-03-22,3,2208
2008-03-23,3,1362
2008-03-24,3,11164
2008-03-25,3,12008
2008-03-26,3,11622
2008-03-27,3,11834
2008-03-28,3,10161
2008-03-29,3,2957
2008-03-30,3,1887
2008-03-31,3,11668
2008-04-01,3,11791
2008-04-02,3,11923
2008-04-03,3,11401
2008-04-04,3,9538
2008-04-05,3,3162
2008-04-06,3,1914
2008-04-07,3,11001
2008-04-08,3,11436
2008-04-09,3,11729
2008-04-10,3,11102
2008-04-11,3,9433
2008-04-12,3,2610
2008-04-13,3,2027
2008-04-14,3,11498
2008-04-15,3,11339
2008-04-16,3,11344
2008-04-17,3,11396
2008-04-18,3,9327
2008-04-19,3,2897
2008-04-20,3,2151
2008-04-21,3,10806
2008-04-22,3,10761
2008-04-23,3,10849
2008-04-24,3,11040
2008-04-25,3,9732
2008-04-26,3,3108
2008-04-27,3,2000
2008-04-28,3,11295
2008-04-29,3,11234
2008-04-30,3,11049
2008-05-01,3,11132
2008-05-02,3,9194
2008-05-03,3,3771
2008-05-04,3,2650
2008-05-05,3,10517
2008-05-06,3,11088
2008-05-07,3,10795
2008-05-08,3,10876
2008-05-09,3,9576
2008-05-10,3,2851
2008-05-11,3,2165
2008-05-12,3,8670
2008-05-13,3,9226
2008-05-14,3,9531
2008-05-15,3,8518
2008-05-16,3,7942
2008-05-17,3,3665
2008-05-18,3,2103
2008-05-19,3,6774
2008-05-20,3,7190
2008-05-21,3,7629
2008-05-22,3,7025
2008-05-23,3,6298
2008-05-24,3,2532
2008-05-25,3,1855
2008-05-26,3,1893
2008-05-27,3,6597
2008-05-28,3,7183
2008-05-29,3,6844
2008-05-30,3,6916
2008-05-31,3,2996
2008-06-01,3,2145
2008-06-02,3,7195
2008-06-03,3,7580
2008-06-04,3,7470
2008-06-05,3,6951
2008-06-06,3,6733
2008-06-07,3,2955
2008-06-08,3,1826
2008-06-09,3,7348
2008-06-10,3,7388
2008-06-11,3,6695
2008-06-12,3,7385
2008-06-13,3,6682
2008-06-14,3,2643
2008-06-15,3,1914
2008-06-16,3,7451
2008-06-17,3,7613
2008-06-18,3,7885
2008-06-19,3,7492
2008-06-20,3,6972
2008-06-21,3,2854
2008-06-22,3,2026
2008-06-23,3,7354
2008-06-24,3,7630
2008-06-25,3,7444
2008-06-26,3,7493
2008-06-27,3,6486
2008-06-28,3,2845
2008-06-29,3,2084
2008-06-30,3,7505
2008-07-01,3,7935
2008-07-02,3,7547
2008-07-03,3,7164
2008-07-04,3,2542
2008-07-05,3,2910
2008-07-06,3,1879
2008-07-07,3,6803
2008-07-08,3,7221
2008-07-09,3,7829
2008-07-10,3,7186
2008-07-11,3,6664
2008-07-12,3,2928
2008-07-13,3,2003
2008-07-14,3,7518
2008-07-15,3,7527
2008-07-16,3,7567
2008-07-17,3,7057
2008-07-18,3,6855
2008-07-19,3,2780
2008-07-20,3,2113
2008-07-21,3,7355
2008-07-22,3,7519
2008-07-23,3,7789
2008-07-24,3,7514
2008-07-25,3,6818
2008-07-26,3,2794
2008-07-27,3,1774
2008-07-28,3,7306
2008-07-29,3,7411
2008-07-30,3,7848
2008-07-31,3,7133
2008-08-01,3,7151
2008-08-02,3,2899
2008-08-03,3,1849
2008-08-04,3,7469
2008-08-05,3,7596
2008-08-06,3,6979
2008-08-07,3,7083
2008-08-08,3,6773
2008-08-09,3,2872
2008-08-10,3,1991
2008-08-11,3,6878
2008-08-12,3,7020
2008-08-13,3,7250
2008-08-14,3,7082
2008-08-15,3,6977
2008-08-16,3,2618
2008-08-17,3,2223
2008-08-18,3,7199
2008-08-19,3,7483
2008-08-20,3,7437
2008-08-21,3,7912
2008-08-22,3,7314
2008-08-23,3,3709
2008-08-24,3,2802
2008-08-25,3,7738
2008-08-26,3,7878
2008-08-27,3,7250
2008-08-28,3,8073
2008-08-29,3,8321
2008-08-30,3,4213
2008-08-31,3,3033
2008-09-01,3,3768
2008-09-02,3,11066
2008-09-03,3,11242
2008-09-04,3,11401
2008-09-05,3,10101
2008-09-06,3,3537
2008-09-07,3,2174
2008-09-08,3,11410
2008-09-09,3,11808
2008-09-10,3,11746
2008-09-11,3,11771
2008-09-12,3,9902
2008-09-13,3,3173
2008-09-14,3,2146
2008-09-15,3,11402
2008-09-16,3,11635
2008-09-17,3,11465
2008-09-18,3,11559
2008-09-19,3,10112
2008-09-20,3,3562
2008-09-21,3,2272
2008-09-22,3,11485
2008-09-23,3,11978
2008-09-24,3,11757
2008-09-25,3,11781
2008-09-26,3,9549
2008-09-27,3,3223
2008-09-28,3,2193
2008-09-29,3,11117
2008-09-30,3,11741
2008-10-01,3,11790
2008-10-02,3,11891
2008-10-03,3,10150
2008-10-04,3,3190
2008-10-05,3,2115
2008-10-06,3,11245
2008-10-07,3,12152
2008-10-08,3,11307
2008-10-09,3,11001
2008-10-10,3,9813
2008-10-11,3,3088
2008-10-12,3,2013
2008-10-13,3,11492
2008-10-14,3,11602
2008-10-15,3,11377
2008-10-16,3,10347
2008-10-17,3,9499
2008-10-18,3,3247
2008-10-19,3,2170
2008-10-20,3,11109
2008-10-21,3,11964
2008-10-22,3,12101
2008-10-23,3,11557
2008-10-24,3,9839
2008-10-25,3,2932
2008-10-26,3,1931
2008-10-27,3,11451
2008-10-28,3,11944
2008-10-29,3,11632
2008-10-30,3,11499
2008-10-31,3,9899
2008-11-01,3,3413
2008-11-02,3,2045
2008-11-03,3,11310
2008-11-04,3,10836
2008-11-05,3,11303
2008-11-06,3,11829
2008-11-07,3,10001
2008-11-08,3,3407
2008-11-09,3,1991
2008-11-10,3,11265
2008-11-11,3,11523
2008-11-12,3,12369
2008-11-13,3,11801
2008-11-14,3,9711
2008-11-15,3,2870
2008-11-16,3,2008
2008-11-17,3,11604
2008-11-18,3,11823
2008-11-19,3,11793
2008-11-20,3,11628
2008-11-21,3,10115
2008-11-22,3,3418
2008-11-23,3,2011
2008-11-24,3,11335
2008-11-25,3,11050
2008-11-26,3,8296
2008-11-27,3,877
2008-11-28,3,2141
2008-11-29,3,2254
2008-11-30,3,1788
2008-12-01,3,11658
2008-12-02,3,12048
2008-12-03,3,11697
2008-12-04,3,11555
2008-12-05,3,10079
2008-12-06,3,3030
2008-12-07,3,1979
2008-12-08,3,11618
2008-12-09,3,12144
2008-12-10,3,11250
2008-12-11,3,8491
2008-12-12,3,8619
2008-12-13,3,3846
2008-12-14,3,1979
2008-12-15,3,8573
2008-12-16,3,8632
2008-12-17,3,8693
2008-12-18,3,7979
2008-12-19,3,6473
2008-12-20,3,2297
2008-12-21,3,1592
2008-12-22,3,5108
2008-12-23,3,4929
2008-12-24,3,2375
2008-12-25,3,684
2008-12-26,3,2308
2008-12-27,3,1854
2008-12-28,3,1312
2008-12-29,3,5005
2008-12-30,3,4832
2008-12-31,3,4577
2009-01-01,3,1201
2009-01-02,3,4216
2009-01-03,3,2125
2009-01-04,3,1327
2009-01-05,3,6229
2009-01-06,3,6331
2009-01-07,3,6535
2009-01-08,3,6199
2009-01-09,3,6054
2009-01-10,3,2167
2009-01-11,3,1521
2009-01-12,3,6341
2009-01-13,3,6273
2009-01-14,3,6251
2009-01-15,3,5711
2009-01-16,3,6597
2009-01-17,3,2340
2009-01-18,3,1586
2009-01-19,3,3988
2009-01-20,3,12086
2009-01-21,3,12390
2009-01-22,3,12469
2009-01-23,3,10336
2009-01-24,3,2565
2009-01-25,3,1763
2009-01-26,3,11880
2009-01-27,3,12198
2009-01-28,3,12245
2009-01-29,3,12375
2009-01-30,3,10336
2009-01-31,3,3185
2009-02-01,3,1949
2009-02-02,3,12185
2009-02-03,3,12648
2009-02-04,3,12401
2009-02-05,3,12040
2009-02-06,3,10561
2009-02-07,3,3044
2009-02-08,3,1901
2009-02-09,3,12092
2009-02-10,3,12459
2009-02-11,3,12785
2009-02-12,3,12475
2009-02-13,3,10518
2009-02-14,3,3089
2009-02-15,3,1800
2009-02-16,3,10569
