RouteClass,year,month,date,gas_price,monthly_riders,prediction,residual
CommExpress,2014,1,2014-01-01,3.218,760833,770667.3924338209,-9834.392433820874
CommExpress,2014,2,2014-02-01,3.29025,773189,781123.3062096061,-7934.3062096061185
CommExpress,2014,3,2014-03-01,3.5058,826522,838642.0979207209,-12120.097920720931
CommExpress,2014,4,2014-04-01,3.51675,873125,820090.1063529953,53034.893647004734
CommExpress,2014,5,2014-05-01,3.49525,796002,773627.720802783,22374.279197216965
CommExpress,2014,6,2014-06-01,3.5444,744093,767751.2282544209,-23658.228254420916
CommExpress,2014,7,2014-07-01,3.4505,742300,716601.0023738805,25698.997626119526
CommExpress,2014,8,2014-08-01,3.33725,694138,743585.2484280141,-49447.24842801411
CommExpress,2014,9,2014-09-01,3.2638000000000003,808538,804817.4341730326,3720.5658269673586
CommExpress,2014,10,2014-10-01,3.0495,868805,829412.3603773763,39392.63962262368
CommExpress,2014,11,2014-11-01,2.85825,679504,716092.4143155471,-36588.414315547096
CommExpress,2014,12,2014-12-01,2.407,696022,685484.244162433,10537.755837567034
CommExpress,2015,1,2015-01-01,1.9565000000000001,731771,700536.0714213855,31234.92857861449
CommExpress,2015,2,2015-02-01,2.156,725376,718066.2702537165,7309.729746283498
CommExpress,2015,3,2015-03-01,2.3806,781175,776088.184006181,5086.8159938190365
CommExpress,2015,4,2015-04-01,2.30925,789948,752960.8395099388,36987.16049006116
CommExpress,2015,5,2015-05-01,2.541,706811,720577.5320781565,-13766.53207815648
CommExpress,2015,6,2015-06-01,2.6498,747232,718017.1975150434,29214.80248495657
CommExpress,2015,7,2015-07-01,2.6855,717425,674071.9016410124,43353.0983589876
CommExpress,2015,8,2015-08-01,2.5606,696491,700408.4823049004,-3917.482304900419
CommExpress,2015,9,2015-09-01,2.286,762987,750458.0162689824,12528.983731017564
CommExpress,2015,10,2015-10-01,2.38875,793184,792678.8919992815,505.1080007185228
CommExpress,2015,11,2015-11-01,2.1304,678783,675628.6156640203,3154.384335979703
CommExpress,2015,12,2015-12-01,1.8845,684049,656436.5903939054,27612.40960609459
CommExpress,2016,1,2016-01-01,1.7545,687993,689306.1650840793,-1313.1650840792572
CommExpress,2016,2,2016-02-01,1.6052,731865,687445.3177260514,44419.682273948565
CommExpress,2016,3,2016-03-01,1.95075,770955,752191.2768819674,18763.72311803256
CommExpress,2016,4,2016-04-01,1.9625,724390,733683.7601908251,-9293.760190825094
CommExpress,2016,5,2016-05-01,2.1708000000000003,683430,699996.7829391921,-16566.78293919214
CommExpress,2016,6,2016-06-01,2.25325,698310,695971.5571286136,2338.442871386418
CommExpress,2016,7,2016-07-01,2.1165,613403,642439.1456710752,-29036.14567107521
CommExpress,2016,8,2016-08-01,2.1438,718632,677237.0716049535,41394.9283950465
CommExpress,2016,9,2016-09-01,2.1715,727843,744092.5495579846,-16249.549557984574
CommExpress,2016,10,2016-10-01,2.1396,738930,778827.7476233415,-39897.74762334151
CommExpress,2016,11,2016-11-01,1.99075,701299,667864.970020432,33434.029979567975
CommExpress,2016,12,2016-12-01,2.107,630656,668806.1654436612,-38150.16544366116
CommExpress,2017,1,2017-01-01,2.3032,699723,719810.3710607128,-20087.371060712845
CommExpress,2017,2,2017-02-01,2.25975,680039,723834.105810625,-43795.10581062501
CommExpress,2017,3,2017-03-01,2.253,757264,768994.44119113,-11730.441191129969
CommExpress,2017,4,2017-04-01,2.30075,671760,752488.2939462402,-80728.29394624021
CommExpress,2017,5,2017-05-01,2.2923999999999998,714716,706756.9641798676,7959.035820132354
CommExpress,2017,6,2017-06-01,2.2595,688424,696319.0171019214,-7895.017101921374
CommExpress,2017,7,2017-07-01,2.2282,608633,648648.9503140313,-40015.95031403133
CommExpress,2017,8,2017-08-01,2.299,697835,685865.1976621314,11969.802337868605
CoreLoc,2014,1,2014-01-01,3.218,4034494,4222894.776297479,-188400.77629747894
CoreLoc,2014,2,2014-02-01,3.29025,4287543,4306737.789917041,-19194.789917040616
CoreLoc,2014,3,2014-03-01,3.5058,4766344,4707922.04620908,58421.953790919855
CoreLoc,2014,4,2014-04-01,3.51675,4818393,4620195.305893815,198197.69410618488
CoreLoc,2014,5,2014-05-01,3.49525,4752754,4505461.854427028,247292.14557297155
CoreLoc,2014,6,2014-06-01,3.5444,4203903,4265188.880029632,-61285.88002963178
CoreLoc,2014,7,2014-07-01,3.4505,4085091,4095445.501474484,-10354.50147448387
CoreLoc,2014,8,2014-08-01,3.33725,4137548,4178857.860404288,-41309.86040428793
CoreLoc,2014,9,2014-09-01,3.2638000000000003,4441140,4487642.422024439,-46502.42202443909
CoreLoc,2014,10,2014-10-01,3.0495,4587480,4481446.136057526,106033.86394247413
CoreLoc,2014,11,2014-11-01,2.85825,3909596,4018966.7345426246,-109370.73454262456
CoreLoc,2014,12,2014-12-01,2.407,3953780,3797133.876679918,156646.1233200822
CoreLoc,2015,1,2015-01-01,1.9565000000000001,3897159,3534289.6561817853,362869.3438182147
CoreLoc,2015,2,2015-02-01,2.156,3729669,3687593.6301935166,42075.36980648339
CoreLoc,2015,3,2015-03-01,2.3806,4174802,4093717.939071404,81084.06092859618
CoreLoc,2015,4,2015-04-01,2.30925,4147894,3961066.7426439533,186827.2573560467
CoreLoc,2015,5,2015-05-01,2.541,3977823,3984572.884256278,-6749.884256278165
CoreLoc,2015,6,2015-06-01,2.6498,3896924,3776860.587952343,120063.41204765718
CoreLoc,2015,7,2015-07-01,2.6855,3759531,3677860.945875192,81670.05412480794
CoreLoc,2015,8,2015-08-01,2.5606,3734792,3754914.0105922753,-20122.0105922753
CoreLoc,2015,9,2015-09-01,2.286,4031130,3953898.397887201,77231.60211279895
CoreLoc,2015,10,2015-10-01,2.38875,4130430,4120767.7110742163,9662.288925783709
CoreLoc,2015,11,2015-11-01,2.1304,3657491,3621660.958342698,35830.04165730206
CoreLoc,2015,12,2015-12-01,1.8845,3657109,3511920.895894781,145188.10410521878
CoreLoc,2016,1,2016-01-01,1.7545,3484658,3424025.499017005,60632.500982995145
CoreLoc,2016,2,2016-02-01,1.6052,3634525,3386932.750162027,247592.24983797316
