mode,monthOf,avg_wkd_rides
A Line,2019-01-01,3909
A Line,2019-02-01,4257
A Line,2019-03-01,4690
A Line,2019-04-01,4950
A Line,2019-05-01,5163
A Line,2019-06-01,5174
A Line,2019-07-01,5056
A Line,2019-08-01,5963
A Line,2019-09-01,5381
A Line,2019-10-01,5229
A Line,2019-11-01,5084
A Line,2019-12-01,4666
A Line,2020-01-01,4452
A Line,2020-02-01,4632
A Line,2020-03-01,3381
A Line,2020-04-01,1930
A Line,2020-05-01,1684
A Line,2020-06-01,2113
A Line,2020-07-01,2313
A Line,2020-08-01,2370
A Line,2020-09-01,2636
A Line,2020-10-01,2547
A Line,2020-11-01,2440
A Line,2020-12-01,2265
A Line,2021-01-01,2271
A Line,2021-02-01,2167
A Line,2021-03-01,2472
A Line,2021-04-01,2537
A Line,2021-05-01,2691
A Line,2021-06-01,2782
A Line,2021-07-01,2826
A Line,2021-08-01,3078
A Line,2021-09-01,3309
A Line,2021-10-01,3249
A Line,2021-11-01,3104
A Line,2021-12-01,2765
A Line,2022-01-01,2429
A Line,2022-02-01,2729
A Line,2022-03-01,2945
A Line,2022-04-01,3003
A Line,2022-05-01,3286
A Line,2022-06-01,3295
A Line,2022-07-01,3379
A Line,2022-08-01,3760
A Line,2022-09-01,3627
Blue Line,2019-01-01,26169
Blue Line,2019-02-01,29380
Blue Line,2019-03-01,32480
Blue Line,2019-04-01,34264
Blue Line,2019-05-01,33769
Blue Line,2019-06-01,36638
Blue Line,2019-07-01,37526
Blue Line,2019-08-01,35974
Blue Line,2019-09-01,33999
Blue Line,2019-10-01,34046
Blue Line,2019-11-01,30474
Blue Line,2019-12-01,30413
Blue Line,2020-01-01,28775
Blue Line,2020-02-01,29008
Blue Line,2020-03-01,18949
Blue Line,2020-04-01,6738
Blue Line,2020-05-01,4515
Blue Line,2020-06-01,5253
Blue Line,2020-07-01,7113
Blue Line,2020-08-01,8223
Blue Line,2020-09-01,8773
Blue Line,2020-10-01,9598
Blue Line,2020-11-01,9524
Blue Line,2020-12-01,9417
Blue Line,2021-01-01,9635
Blue Line,2021-02-01,9742
Blue Line,2021-03-01,11814
Blue Line,2021-04-01,11242
Blue Line,2021-05-01,12255
Blue Line,2021-06-01,12722
Blue Line,2021-07-01,13252
Blue Line,2021-08-01,13119
Blue Line,2021-09-01,14006
Blue Line,2021-10-01,13940
