Weekly Minnesota Regular Conventional Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPMRU_PTE_SMN_DPG&f=W
11:32:26 GMT-0500 (北美中部夏令时间)
Source: U.S. Energy Information Administration
Week of,Weekly Minnesota Regular Conventional Retail Gasoline Prices Dollars per Gallon
09/19/2022,3.646
09/12/2022,3.669
09/5/2022,3.686
08/29/2022,3.783
08/22/2022,3.85
08/15/2022,3.877
08/8/2022,3.973
08/1/2022,4.14
07/25/2022,4.335
07/18/2022,4.461
07/11/2022,4.656
07/4/2022,4.695
06/27/2022,4.727
06/20/2022,4.74
06/13/2022,4.753
06/6/2022,4.597
05/30/2022,4.222
05/23/2022,4.137
05/16/2022,4.106
05/9/2022,3.962
05/2/2022,3.89
04/25/2022,3.877
04/18/2022,3.839
04/11/2022,3.831
04/4/2022,3.898
03/28/2022,3.929
03/21/2022,3.923
03/14/2022,3.945
03/7/2022,3.759
02/28/2022,3.432
02/21/2022,3.388
02/14/2022,3.306
02/7/2022,3.28
01/31/2022,3.164
01/24/2022,3.159
01/17/2022,3.131
01/10/2022,3.08
01/3/2022,3.076
12/27/2021,3.072
12/20/2021,3.072
12/13/2021,3.082
12/6/2021,3.11
11/29/2021,3.154
11/22/2021,3.163
11/15/2021,3.164
11/8/2021,3.18
11/1/2021,3.158
10/25/2021,3.13
10/18/2021,3.089
10/11/2021,3.045
10/4/2021,3.025
09/27/2021,3.001
09/20/2021,2.991
09/13/2021,2.98
09/6/2021,2.991
08/30/2021,2.991
08/23/2021,3.007
08/16/2021,3.015
08/9/2021,3.003
08/2/2021,2.975
07/26/2021,2.97
07/19/2021,2.983
07/12/2021,2.964
07/5/2021,2.938
06/28/2021,2.903
06/21/2021,2.834
06/14/2021,2.843
06/7/2021,2.816
05/31/2021,2.817
05/24/2021,2.801
05/17/2021,2.814
05/10/2021,2.739
05/3/2021,2.71
04/26/2021,2.71
04/19/2021,2.704
04/12/2021,2.697
04/5/2021,2.718
03/29/2021,2.732
03/22/2021,2.747
03/15/2021,2.751
03/8/2021,2.695
03/1/2021,2.642
02/22/2021,2.56
02/15/2021,2.37
02/8/2021,2.288
02/1/2021,2.281
01/25/2021,2.279
01/18/2021,2.266
01/11/2021,2.188
01/4/2021,2.135
12/28/2020,2.126
12/21/2020,2.111
12/14/2020,2.002
12/7/2020,1.95
11/30/2020,1.936
11/23/2020,1.915
11/16/2020,1.952
11/9/2020,1.909
11/2/2020,1.932
10/26/2020,1.946
10/19/2020,1.957
10/12/2020,1.974
10/5/2020,2.009
09/28/2020,2.028
09/21/2020,2.051
09/14/2020,2.077
09/7/2020,2.101
08/31/2020,2.105
08/24/2020,2.038
08/17/2020,2.028
08/10/2020,2.032
08/3/2020,2.042
07/27/2020,2.045
07/20/2020,2.067
07/13/2020,2.072
07/6/2020,2.069
06/29/2020,2.092
06/22/2020,2.046
06/15/2020,1.996
06/8/2020,1.962
06/1/2020,1.883
05/25/2020,1.877
05/18/2020,1.731
05/11/2020,1.656
05/4/2020,1.516
04/27/2020,1.505
04/20/2020,1.533
04/13/2020,1.581
04/6/2020,1.704
03/30/2020,1.814
03/23/2020,1.93
03/16/2020,2.065
03/9/2020,2.237
03/2/2020,2.306
02/24/2020,2.316
02/17/2020,2.254
02/10/2020,2.269
02/3/2020,2.3
01/27/2020,2.364
01/20/2020,2.395
01/13/2020,2.445
01/6/2020,2.379
12/30/2019,2.371
12/23/2019,2.364
12/16/2019,2.361
12/9/2019,2.384
12/2/2019,2.412
11/25/2019,2.418
11/18/2019,2.448
11/11/2019,2.468
11/4/2019,2.457
10/28/2019,2.469
10/21/2019,2.474
10/14/2019,2.476
10/7/2019,2.507
09/30/2019,2.528
09/23/2019,2.617
09/16/2019,2.438
09/9/2019,2.426
09/2/2019,2.475
08/26/2019,2.494
08/19/2019,2.521
08/12/2019,2.546
08/5/2019,2.587
07/29/2019,2.591
07/22/2019,2.61
07/15/2019,2.626
07/8/2019,2.567
07/1/2019,2.543
06/24/2019,2.538
06/17/2019,2.559
06/10/2019,2.621
06/3/2019,2.706
05/27/2019,2.702
05/20/2019,2.694
