Route,year,month,riders,date,wd,wd2,RouteClass,RRoute,dscp,NumOfWdays,avg_riders,gas_price,n
2,2014,1,141502,2014-01-01,22,31,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,31,4564.580645161291,3.218,44
2,2014,2,178819,2014-02-01,20,28,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,28,6386.392857142857,3.29025,44
2,2014,3,175133,2014-03-01,21,31,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,31,5649.451612903225,3.5058,44
2,2014,4,178273,2014-04-01,22,30,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,30,5942.433333333333,3.51675,44
2,2014,5,147049,2014-05-01,21,31,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,31,4743.5161290322585,3.49525,44
2,2014,6,116952,2014-06-01,21,30,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,30,3898.4,3.5444,44
2,2014,7,118553,2014-07-01,22,31,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,31,3824.2903225806454,3.4505,44
2,2014,8,122807,2014-08-01,21,31,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,31,3961.516129032258,3.33725,44
2,2014,9,169944,2014-09-01,21,30,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,30,5664.8,3.2638000000000003,44
2,2014,10,176832,2014-10-01,23,31,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,31,5704.258064516129,3.0495,44
2,2014,11,159012,2014-11-01,18,30,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,30,5300.4,2.85825,44
2,2014,12,145168,2014-12-01,20,31,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,31,4682.8387096774195,2.407,44
2,2015,1,144747,2015-01-01,21,31,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,31,4669.258064516129,1.9565000000000001,44
2,2015,2,165660,2015-02-01,20,28,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,28,5916.428571428572,2.156,44
2,2015,3,165562,2015-03-01,22,31,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,31,5340.709677419355,2.3806,44
2,2015,4,163867,2015-04-01,22,30,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,30,5462.233333333334,2.30925,44
2,2015,5,124814,2015-05-01,20,31,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,31,4026.2580645161293,2.541,44
2,2015,6,103740,2015-06-01,22,30,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,30,3458,2.6498,44
2,2015,7,117457,2015-07-01,22,31,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,31,3788.935483870968,2.6855,44
2,2015,8,117939,2015-08-01,21,31,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,31,3804.483870967742,2.5606,44
2,2015,9,155604,2015-09-01,21,30,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,30,5186.8,2.286,44
2,2015,10,160946,2015-10-01,22,31,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,31,5191.806451612903,2.38875,44
2,2015,11,146455,2015-11-01,19,30,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,30,4881.833333333333,2.1304,44
2,2015,12,141262,2015-12-01,21,31,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,31,4556.8387096774195,1.8845,44
2,2016,1,131467,2016-01-01,20,31,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,31,4240.870967741936,1.7545,44
2,2016,2,152141,2016-02-01,21,29,CoreLoc,2,Franklin Av - Riverside Av - U of M - 8th St SE,29,5246.241379310345,1.6052,44
