OBJECTID_1,FID_District_Council_Merge,objectid,districtnu,planning_1,FID_TransitRoutes,route,route_oper,RouteClass,routedscrp,routesort,RoutePayLe,EffectiveD,PayLeaveDi,wk_ftrip,wk_ltrip,wk_span,wk_trip_fr,sat_ftrip,sat_ltrip,sat_span,sat_trip_f,sun_ftrip,sun_ltrip,sun_span,sun_trip_f,fri_ftrip,fri_ltrip,fri_span,fri_trip_f,hol_ftrip,hol_ltrip,hol_span,hol_trip_f,Shape_Leng,Shape_Length
1,19,2,,Northeast,0,10,M,CoreLoc,Central Av - University Av - Northtown,10,0,2022-08-20,0,4:02:00 AM,1:33:00 AM,21:31,300,4:04:00 AM,1:31:00 AM,21:27,128,4:04:00 AM,1:31:00 AM,21:27,109, , , ,0, , , ,0,54465.58268,0.07969635699
2,22,5,,University,0,10,M,CoreLoc,Central Av - University Av - Northtown,10,0,2022-08-20,0,4:02:00 AM,1:33:00 AM,21:31,300,4:04:00 AM,1:31:00 AM,21:27,128,4:04:00 AM,1:31:00 AM,21:27,109, , , ,0, , , ,0,54465.58268,0.009466166136
3,19,2,,Northeast,1,11,M,CoreLoc,Columbia Heights - 2nd St NE - 4th Av S,11,0,2022-06-11,0,4:28:00 AM,1:36:00 AM,21:08,266,4:31:00 AM,1:32:00 AM,21:01,117,4:38:00 AM,1:32:00 AM,20:54,69, , , ,0, , , ,0,38241.55379,0.09968266391
4,21,4,,Central,1,11,M,CoreLoc,Columbia Heights - 2nd St NE - 4th Av S,11,0,2022-06-11,0,4:28:00 AM,1:36:00 AM,21:08,266,4:31:00 AM,1:32:00 AM,21:01,117,4:38:00 AM,1:32:00 AM,20:54,69, , , ,0, , , ,0,38241.55379,0.01596522043
5,22,5,,University,1,11,M,CoreLoc,Columbia Heights - 2nd St NE - 4th Av S,11,0,2022-06-11,0,4:28:00 AM,1:36:00 AM,21:08,266,4:31:00 AM,1:32:00 AM,21:01,117,4:38:00 AM,1:32:00 AM,20:54,69, , , ,0, , , ,0,38241.55379,0.003675497695
6,24,7,,Powderhorn,1,11,M,CoreLoc,Columbia Heights - 2nd St NE - 4th Av S,11,0,2022-06-11,0,4:28:00 AM,1:36:00 AM,21:08,266,4:31:00 AM,1:32:00 AM,21:01,117,4:38:00 AM,1:32:00 AM,20:54,69, , , ,0, , , ,0,38241.55379,0.05123609152
7,26,9,,Southwest,1,11,M,CoreLoc,Columbia Heights - 2nd St NE - 4th Av S,11,0,2022-06-11,0,4:28:00 AM,1:36:00 AM,21:08,266,4:31:00 AM,1:32:00 AM,21:01,117,4:38:00 AM,1:32:00 AM,20:54,69, , , ,0, , , ,0,38241.55379,0.02298686985
8,27,10,,Nokomis,1,11,M,CoreLoc,Columbia Heights - 2nd St NE - 4th Av S,11,0,2022-06-11,0,4:28:00 AM,1:36:00 AM,21:08,266,4:31:00 AM,1:32:00 AM,21:01,117,4:38:00 AM,1:32:00 AM,20:54,69, , , ,0, , , ,0,38241.55379,0.01444479465
9,28,11,,Phillips,1,11,M,CoreLoc,Columbia Heights - 2nd St NE - 4th Av S,11,0,2022-06-11,0,4:28:00 AM,1:36:00 AM,21:08,266,4:31:00 AM,1:32:00 AM,21:01,117,4:38:00 AM,1:32:00 AM,20:54,69, , , ,0, , , ,0,38241.55379,0.01456459417
10,21,4,,Central,2,113,M,CommExpress,Ltd Stop - Grand Av S - Lyndale Av S - U of M,113,-1,2022-03-26,1,6:51:00 AM,6:20:00 PM,11:29,20, , , ,0, , , ,0, , , ,0, , , ,0,26968.31464,0.003165234987
