ID,TYPE,CORRIDOR,YR_START1,YR_END1,YR_START2,PRIV_ROW,Shape_Leng
0,Stillwater Streetcar,,1889,1897,0,FALSE,3108.89664
0,Stillwater Streetcar,,1889,1897,0,FALSE,1016.61998681
0,Steam Power,,1884,1891,0,FALSE,6856.07343529
0,Steam Power,,1879,1891,0,FALSE,1649.98722445
0,Steam Power,,1887,1891,0,FALSE,2568.66313894
0,Steam Power,,1884,1891,0,FALSE,1182.14608069
0,Steam Power,,1884,1891,0,FALSE,876.238568297
0,Steam Power,,1882,1886,0,FALSE,22217.6741013
0,Steam Power,,1880,1886,1887,FALSE,1587.85239435
0,Steam Power,,1879,1891,0,FALSE,758.06982764
0,Steam Power,,1879,1891,0,FALSE,1168.66676859
0,Steam Power,,1879,1891,0,FALSE,2576.30752524
0,Steam Power,,1879,1884,0,FALSE,701.828225295
0,Cable Car,,1886,1891,0,FALSE,7570.68911007
0,Cable Car,,1886,1891,0,FALSE,4231.47968996
1,Horsecar,,1886,1891,0,FALSE,1552.9946926
2,Horsecar,,1889,1891,0,FALSE,1559.10131843
3,Horsecar,,1882,1891,0,FALSE,1213.52481365
6,Horsecar,,1882,1891,0,FALSE,792.123156637
8,Horsecar,,1885,1891,0,FALSE,1795.6912582
9,Horsecar,,1888,1891,0,FALSE,881.66299853
10,Horsecar,,1888,1891,0,FALSE,882.189681971
11,Horsecar,,1881,1891,0,FALSE,670.757186838
12,Horsecar,,1885,1891,0,FALSE,1145.74739212
13,Horsecar,,1880,1891,0,FALSE,725.482475589
16,Horsecar,,1883,1887,0,FALSE,1403.47926085
17,Horsecar,,1884,1887,0,FALSE,577.106474692
18,Horsecar,,1887,1891,0,FALSE,1778.54725571
20,Horsecar,,1886,1891,0,FALSE,1592.30085952
21,Horsecar,,1888,1891,0,FALSE,981.084261694
22,Horsecar,,1888,1891,0,FALSE,587.76526004
23,Horsecar,,1886,1891,0,FALSE,609.163060405
24,Horsecar,,1885,1891,0,FALSE,797.945404595
25,Horsecar,,1878,1891,0,FALSE,2306.17264704
31,Horsecar,,1881,1891,0,FALSE,1584.92921979
32,Horsecar,,1888,1891,0,FALSE,783.819223623
33,Horsecar,,1888,1891,0,FALSE,743.318635184
34,Horsecar,,1881,1891,0,FALSE,1402.75003915
37,Horsecar,,1886,1891,0,FALSE,956.746763536
38,Horsecar,,1887,1891,0,FALSE,1268.04295484
40,Horsecar,,1887,1890,0,FALSE,603.642446153
45,Horsecar,,1882,1891,0,FALSE,1603.85472617
0,Horsecar,,1887,1891,0,FALSE,913.698235356
0,Horsecar,,1888,1892,0,FALSE,445.114800001
5,Horsecar,,1887,1891,0,FALSE,777.085410108
5,Horsecar,,1883,1891,0,FALSE,357.200489283
29,Horsecar,,1886,1891,0,FALSE,386.422145502
29,Horsecar,,1880,1890,0,FALSE,404.227700082
30,Horsecar,,1884,1886,0,FALSE,313.803703611
26,Horsecar,,1888,1891,0,FALSE,593.183633743
26,Horsecar,,1888,1891,0,FALSE,815.526147354
19,Horsecar,,1878,1891,0,FALSE,340.126862104
19,Horsecar,,1878,1891,0,FALSE,565.680431056
28,Horsecar,,1884,1891,0,FALSE,289.585759745
28,Horsecar,,1884,1891,0,FALSE,138.8079892
29,Horsecar,,1880,1884,0,FALSE,559.921628449
0,Horsecar,,0,1891,0,FALSE,1268.43790752
35,Horsecar,,1875,1891,0,FALSE,1883.30282872
35,Horsecar,,1875,1891,0,FALSE,813.459461624
35,Horsecar,,1875,1891,0,FALSE,256.322432349
7,Horsecar,,1876,1891,0,FALSE,764.622374463
7,Horsecar,,1876,1891,0,FALSE,721.910950289
26,Horsecar,,1888,1891,0,FALSE,405.340240708
